	show_name	D614G_IC50	SARS_IC50	Omicron_IC50	R346K_IC50	BA2_IC50	BA2_12_1_IC50	BA2_13_IC50	BA3_IC50	BA4_IC50	pangolin_GD_IC50	RaTG13_IC50	D614G_L452M_IC50	D614G_L452R_IC50	D614G_L452Q_IC50	SARS_ELISA	Omicron_ELISA	SARS_ELISA_300ng	RaTG13_300ng	pangolin_GD_300ng	pangolin_GX_300ng	PC4_127_300ng	sin852_300ng	WIV1_300ng	LYRa11_300ng	RS7327_300ng	GZ_C_300ng	Urbani_300ng	RS4231_300ng	RS4247_300ng	BM48_31_300ng	BtKY72_300ng	SHAANXI2011_300ng	YN2013_300ng	RP3_300ng	ZC45_300ng	Anlong112_300ng	SC2018_300ng	ZXC21_300ng	ELISA_3ug_compete	ELISA_150ng_compete	ELISA_compete_level
BD45-57	C1A-C2	Inf*	>10	Inf	Inf	Inf*	Inf*	Inf	Inf*	Inf	Inf*	--	--	--	--	0	--	0.12	--	--	--	--	--	--	0.053	0.054	0.046	0.05	0.055	0.048	--	--	--	--	0.051	0.046	0.048	0.045	0.46	3.456	0.638888889	--
BD45-58	C1A-B3	Inf*	>10	Inf	Inf	Inf*	Inf*	Inf	Inf*	Inf*	Inf*	--	--	--	--	0	--	0.09	--	--	--	--	--	--	0.052	0.061	0.047	0.053	0.054	0.047	--	--	--	--	0.047	0.046	0.047	0.048	0.47	2.359	0.115303095	--
BD45-59	C1A-B12	Inf*	>10	Inf	Inf	Inf*	Inf*	Inf	Inf*	4.55378	Inf*	--	--	--	--	0	--	-0.02	--	--	--	--	--	--	0.066	0.071	0.059	0.379	0.056	0.052	--	--	--	--	0.054	0.051	0.067	0.05	0	3.477	0.814782859	--
BD45-60	C144	Inf	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.302026	--	--	--	--	--	--	--	2.27	--	--	--	--	--	--	0.069	0.093	0.069	0.085	0.06	0.054	--	--	--	--	0.061	0.05	0.054	0.048	0.16	3.412	0.668229777	--
BD45-61	C135	Inf*	--	--	--	Inf	--	--	--	--	--	--	--	--	--	--	--	0.08	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	0.47	--	--	--
BD45-62	C121	Inf*	>10	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.0775295	--	--	--	--	--	0	--	0.09	--	--	--	--	--	--	0.071	0.094	0.069	0.085	0.067	0.064	--	--	--	--	0.065	0.056	0.063	0.053	0.48	3.236	0.934796044	--
BD45-63	C119	Inf*	>10	Inf	Inf	Inf*	Inf*	Inf*	Inf*	Inf	Inf*	--	--	--	--	0	--	0.07	--	--	--	--	--	--	0.065	0.116	0.073	0.067	0.061	0.064	--	--	--	--	0.069	0.049	0.052	0.054	0.48	3.443	0.563171653	--
BD45-64	C110	Inf*	>10	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.5018	--	--	--	--	--	0	--	0.51	--	--	--	--	--	--	0.05	0.13	0.058	0.048	0.052	0.043	--	--	--	--	0.054	0.043	0.058	0.046	0.35	3.254	0.693915181	--
BD45-65	C105	Inf*	>10	Inf	Inf	Inf*	Inf*	Inf	Inf*	Inf	--	--	--	--	--	0	--	0.29	--	--	--	--	--	--	0.052	0.062	0.044	0.047	0.052	0.044	--	--	--	--	0.066	0.045	0.045	0.046	0.43	3.473	0.551108552	--
BD45-67	C102	Inf*	>10	Inf	Inf	Inf*	Inf*	Inf	Inf*	24.4334	0.156757	--	--	--	--	0	--	1.13	--	--	--	--	--	--	0.068	0.075	0.054	0.059	0.059	0.057	--	--	--	--	0.07	0.056	0.052	0.051	0.22	3.376	0.364336493	--
BD45-68	C002	Inf*	>10	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.103029	--	--	--	--	--	0	--	1.59	--	--	--	--	--	--	0.13	0.166	0.084	0.089	0.053	0.05	--	--	--	--	0.056	0.046	0.045	0.045	0.14	3.423	0.817703769	--
BD45-70	BG7-15	Inf*	>10	Inf	0.542518	0.639295	0.55454	Inf	0.8893	1.60268	Inf*	--	--	--	--	0	--	1.21	--	--	--	--	--	--	0.172	0.275	0.188	0.275	0.068	0.053	--	--	--	--	0.07	0.051	0.053	0.055	0.21	3.174	0.753623188	--
BD45-71	BG10-19	0.0009	>10	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.486866	0.111402	--	--	--	--	0	--	3.51	3.46	3.47	3.39	3.43	3.08	3.38	2.322	3.214	3.409	0.143	0.2	0.14	0.14	0.14	0.1	0.11	0.205	0.17	0.186	0.105	0.33	3.47	0.294524496	--
BD45-72	BG1-24	Inf*	>10	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.00653542	--	--	--	--	--	0	--	0.1	--	--	--	--	--	--	0.12	0.323	0.082	0.091	0.062	0.097	--	--	--	--	0.071	0.053	0.063	0.055	0.48	3.397	0.93111569	--
BD45-74	B38	Inf*	>10	Inf	Inf	Inf*	Inf*	Inf	Inf*	--	Inf*	--	--	--	--	0	--	0.65	--	--	--	--	--	--	0.296	0.462	0.306	0.191	0.064	0.116	--	--	--	--	0.077	0.056	0.054	0.054	0.32	3.362	0.104402142	--
BD45-75	7D6	Inf*	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	Inf*	Inf*	--	--	--	--	--	--	0.12	--	--	--	--	--	--	0.059	0.07	0.048	0.063	0.057	0.06	--	--	--	--	0.065	0.048	0.046	0.05	0.46	3.331	0.002701891	--
BD45-77	2022/2/15	Inf*	>10	Inf	Inf	Inf*	Inf*	Inf	Inf*	2.22848	Inf*	--	--	--	--	0	--	0.3	--	--	--	--	--	--	0.066	0.071	0.049	0.063	0.061	0.055	--	--	--	--	0.071	0.048	0.051	0.05	0.43	3.314	0.877489439	--
BD45-79	1-57	Inf*	>10	Inf	Inf	Inf*	Inf*	Inf	Inf*	27.9514	Inf*	--	--	--	--	0	--	-0.02	--	--	--	--	--	--	0.182	0.359	0.149	0.113	0.075	0.079	--	--	--	--	0.084	0.063	0.067	0.057	0	3.304	0.812046005	--
BD45-103	S2X35	0.179957	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.0343864	0.0015505	--	--	--	0.0164	--	--	4.03	--	--	--	--	--	--	3.082	2.909	2.273	1.149	0.42	0.581	--	--	--	--	0.204	0.315	0.495	0.392	0.01	3.478	0.592294422	--
BD45-104	S2X259	0.0461702	1.565983208	2.3412	>10	>10	>10	1.681823	>10	0.0151748	0.00105709	--	--	--	0.02	--	--	4.34	--	--	--	--	--	--	3.384	3.178	2.252	2.686	1.97	3.289	--	--	--	--	0.093	0.139	2.43	0.08	0.01	3.407	0.795421192	--
BD45-105	S2H97	>10	2.56281985	2.2312	2.704481672	2.532	3.00245	1.63666	2.788	0.09763793	0.834212	--	--	--	4.8377	--	--	4.19	--	--	--	--	--	--	2.555	2.999	1.934	0.113	2.85	2.349	--	--	--	--	2.534	3.027	3.246	3.096	0.01	3.478	0.013513514	--
BD45-109	P5A-3A1	Inf*	>10	Inf	Inf	Inf*	Inf*	Inf	Inf*	Inf*	Inf*	--	--	--	0.1271	0	--	0	--	--	--	--	--	--	0.06	0.129	0.056	0.126	0.091	0.083	--	--	--	--	0.049	0.268	0.092	0.056	0.5	3.356	0.1159118	--
BD45-111	15033	Inf*	>10	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.439357	Inf*	--	--	--	0.008	0	--	0.02	--	--	--	--	--	--	0.106	0.168	0.089	0.068	0.062	0.183	--	--	--	--	0.06	0.103	0.098	0.061	0.5	3.444	0.62311266	--
BD45-112	CR3022-B6	Inf	Inf	Inf*	Inf*	Inf*	Inf*	Inf	Inf*	--	Inf*	--	--	--	1.2709	--	--	2.52	--	--	--	--	--	--	0.3	0.318	0.169	0.057	0.056	0.059	--	--	--	--	0.071	0.095	0.089	0.048	0.12	3.319	0.168122929	--
BD45-113	2H2	Inf*	--	--	--	0.0761362	--	--	--	--	--	--	--	--	0.2949	--	--	0.01	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	0.5	--	--	--
BD45-115	CV05-163	Inf*	>10	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.427883	--	--	--	--	0.006	0	--	-0.01	--	--	--	--	--	--	0.074	0.102	0.067	1.393	0.38	0.084	--	--	--	--	0.043	0.099	0.073	0.714	0.5	2.977	0.478333893	--
BD45-116	CV38-142	0.634164	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	Inf	Inf*	--	--	--	0.4539	--	--	4.17	--	--	--	--	--	--	2.861	2.382	1.732	0.075	0.069	0.137	--	--	--	--	0.046	0.084	0.088	0.061	0.01	3.416	0.030152225	--
BD45-117	FC08	Inf	0.262135	0.373861	0.153624	0.193501	0.144589	0.2012	1.18609	7.62495	0.0590267	--	--	--	2.3091	--	--	2.94	--	--	--	--	--	--	0.063	0.113	0.067	0.714	1.221	0.074	--	--	--	--	0.348	0.868	1.484	1.559	0.1	3.469	0.010089363	--
BD45-118	CR3014-C8	Inf	Inf	Inf*	Inf*	Inf*	Inf*	Inf	Inf*	Inf*	Inf*	--	--	--	Inf	--	--	3.02	--	--	--	--	--	--	0.187	0.202	0.087	0.057	0.074	0.049	--	--	--	--	0.048	0.067	0.101	0.066	0.07	3.407	-0.010566481	--
BD45-119	3C1	Inf	--	--	--	Inf	--	--	--	--	--	--	--	--	0.8583	--	--	4.45	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	0.01	--	--	--
BD45-121	P17	Inf*	>10	Inf	Inf	Inf*	Inf*	Inf	Inf*	Inf*	Inf*	--	--	--	0.0532	0	0	0.04	--	--	--	--	--	--	0.145	0.451	0.135	0.043	0.083	0.053	--	--	--	--	0.184	0.299	0.381	0.045	0.49	3.108	0.879343629	--
BD45-122	P2B-1A10	Inf*	>10	Inf	Inf	Inf*	Inf*	Inf	Inf*	Inf*	Inf*	--	--	--	0.0797	0	--	0	--	--	--	--	--	--	0.055	0.083	0.043	0.047	0.058	0.043	--	--	--	--	0.041	0.079	0.059	0.049	0.5	3.332	0.277010804	--
BD45-123	P5A-2G9	Inf*	>10	Inf	Inf	Inf*	Inf*	Inf	Inf*	Inf	Inf*	--	--	--	0.0291	0	--	0.01	--	--	--	--	--	--	0.058	0.086	0.045	0.06	0.07	0.052	--	--	--	--	0.044	0.078	0.094	0.055	0.5	3.385	0.30014771	--
BD45-127	HB27	Inf*	Inf*	Inf*	Inf*	Inf*	Inf*	Inf	Inf*	Inf*	Inf*	--	--	--	--	--	--	0.06	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	0.49	3.494	0.008586148	--
BD45-129	C058	Inf*	>10	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.263072	Inf*	--	--	--	0.0008	0	--	0	--	--	--	--	--	--	0.07	0.086	0.056	0.073	0.07	0.068	--	--	--	--	0.043	0.083	0.121	0.05	0.5	3.087	0.725947522	--
BD45-130	C083	Inf*	>10	Inf	Inf	Inf*	Inf*	Inf	Inf*	Inf	Inf*	--	--	--	1.8027	0	--	-0.01	--	--	--	--	--	--	0.054	0.074	0.047	0.047	0.059	0.068	--	--	--	--	0.043	0.089	0.066	0.049	0.5	3.473	0.097898071	--
BD45-131	C085	Inf	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	Inf*	Inf*	--	--	--	0.0238	--	--	--	--	--	--	--	--	--	0.162	0.259	0.11	0.049	0.062	0.05	--	--	--	--	0.048	0.085	0.094	0.049	0	3.142	0.699554424	--
BD45-132	C089	Inf*	Inf	Inf*	Inf*	Inf*	Inf*	Inf	Inf*	Inf*	Inf*	--	--	--	Inf	--	--	0.41	--	--	--	--	--	--	0.087	0.194	0.067	0.107	0.255	0.13	--	--	--	--	0.069	0.233	0.228	0.122	0.41	3.325	0.017142857	--
BD45-133	C516	Inf*	--	--	--	Inf	--	--	--	--	--	--	--	--	1.9951	--	--	0.01	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	0.5	--	--	--
BD45-134	C597	Inf*	2.981	2.66349	2.03932	2.731373	0.924814	2.651	Inf	0.0276935	--	--	--	--	0.0057	0	--	-0.01	--	--	--	--	--	--	0.063	0.122	0.045	0.045	0.082	0.068	--	--	--	--	0.042	0.114	0.093	0.046	0.5	3.396	0.828916372	--
BD45-135	C547	Inf	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	8.8944	Inf*	--	--	--	Inf	--	--	4.16	--	--	--	--	--	--	1.306	0.562	0.231	0.761	0.466	0.08	--	--	--	--	0.052	0.108	0.096	0.415	0.01	3.397	-0.005004416	--
BD45-136	C552	Inf	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	Inf	Inf*	--	--	--	Inf	--	--	--	--	--	--	--	--	--	0.063	0.107	0.058	0.231	0.168	0.107	--	--	--	--	0.053	0.092	0.067	0.135	0	3.464	0.021939954	--
BD45-137	C556	Inf*	1.918	Inf	Inf	Inf	Inf	Inf	Inf	Inf*	Inf*	--	--	--	Inf	2	0	-0.01	--	--	--	--	--	--	0.057	0.062	0.049	0.05	0.062	0.075	--	--	--	--	0.047	0.09	0.076	0.179	0.5	3.465	0.095815296	--
BD45-139	C213	Inf*	Inf	Inf*	Inf*	Inf*	Inf*	Inf	Inf*	Inf*	Inf*	--	--	--	2.2965	--	--	0	--	--	--	--	--	--	0.064	0.085	0.056	0.068	0.066	0.049	--	--	--	--	0.047	0.104	0.093	0.053	0.5	3.475	0.087482014	--
BD45-140	C217	Inf*	Inf	Inf*	Inf*	Inf*	Inf*	Inf	Inf*	Inf*	Inf*	--	--	--	Inf	--	--	0	--	--	--	--	--	--	0.066	0.108	0.07	0.119	0.095	0.207	--	--	--	--	0.047	0.108	0.09	0.076	0.5	3.466	0.085978073	--
BD45-141	C091	Inf*	--	--	--	Inf	--	--	--	--	--	--	--	--	Inf	--	--	0.05	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	0.49	--	--	--
BD45-142	C093	Inf	>10	Inf	Inf	Inf*	Inf*	Inf	Inf*	2.33472	Inf*	--	--	--	0.0122	0	--	--	--	--	--	--	--	--	0.082	0.188	0.071	0.073	0.085	0.096	--	--	--	--	0.057	0.138	0.084	0.06	0	3.34	0.249101796	--
BD45-143	C034	Inf*	Inf	Inf*	Inf*	Inf*	Inf*	Inf	Inf*	Inf*	Inf*	--	--	--	Inf	--	--	0	--	--	--	--	--	--	0.071	0.17	0.056	0.062	0.083	0.073	--	--	--	--	0.048	0.109	0.11	0.05	0.5	3.422	0.020455874	--
BD45-144	C048	1.12207	0.916017	1.02766	Inf	Inf	Inf*	Inf	Inf*	0.13849	0.0354532	--	--	--	0.1186	--	--	4.14	--	--	--	--	--	--	1.414	1.525	0.581	1.036	0.098	0.056	--	--	--	--	1.702	0.1	0.118	2.667	0.01	3.383	0.766775052	--
BD45-145	C576	1.1641	0.0628	0.84292	--	0.73254	--	--	--	7.49773	Inf	--	--	--	0.0038	0	--	3.36	2.5	3.44	0.2	3.41	0.52	3.35	--	--	--	--	--	0.08	0.07	0.06	0.05	0.05	--	--	--	--	0.49	--	--	--
BD45-146	C578	Inf*	>10	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.282408	Inf*	--	--	--	0.0082	0	--	-0.01	--	--	--	--	--	--	0.06	0.064	0.049	0.064	0.058	0.047	--	--	--	--	0.045	0.085	0.067	0.155	0.5	3.431	0.575925386	--
BD45-147	C581	Inf	0.226644	0.210734	0.3142	1.43262	0.1982058	0.226644	2.2497	Inf	Inf*	--	--	--	Inf	2	0	3.42	0.27	2.99	3.14	0.6	0.36	0.26	0.199	0.792	1.626	0.075	0.394	0.13	0.09	0.14	3.34	2.02	0.788	0.357	1.732	0.707	0.47	3.441	0.002906132	--
BD45-148	C591	Inf*	>10	Inf	Inf	Inf*	Inf*	Inf	Inf*	Inf	Inf*	--	--	--	0.0855	0	--	-0.01	--	--	--	--	--	--	0.06	0.059	0.046	0.058	0.064	0.051	--	--	--	--	0.044	0.093	0.067	0.055	0.5	3.242	0.383713757	--
BD45-149	C594	Inf*	>10	Inf	Inf	Inf*	Inf*	Inf	Inf*	Inf	Inf*	--	--	--	3.3905	0	--	0	--	--	--	--	--	--	0.055	0.078	0.078	0.079	0.078	0.157	--	--	--	--	0.048	0.088	0.073	0.133	0.5	3.292	0.472053463	--
BD45-150	CM32	Inf*	>10	Inf	Inf	Inf*	Inf*	Inf	Inf*	1.49416	Inf*	--	--	--	0.057	0	--	0	--	--	--	--	--	--	0.055	0.073	0.053	0.067	0.063	0.061	--	--	--	--	0.048	0.1	0.064	0.068	0.5	3.322	0.130042143	--
BD45-151	CV2-75	--	Inf*	Inf*	Inf*	Inf	--	--	--	Inf*	Inf*	--	--	--	Inf	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	0	--	--	--
BD45-152	LY-CoV1404	>10	0.000604084	0.00177418	0.00086911	0.000762476	0.00098462	0.001091	0.0008621	0.008632	>10	--	--	--	0.0034	0	--	-0.01	--	--	--	--	--	--	0.055	0.133	0.062	0.072	0.087	0.12	--	--	--	--	0.046	0.112	0.067	0.049	0.5	3.383	0.781259237	--
BD45-154	BG7-20	Inf	>10	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.135057	--	--	--	--	0.0208	0	--	0	--	--	--	--	--	--	0.235	0.088	0.811	0.169	0.061	0.051	--	--	--	--	0.645	0.05	0.067	0.047	0.5	3.357	0.884420614	--
BD45-157	BG4-25	Inf	1.9734	2.49645	2.09224	1.53011	1.662	1.713	4.34294	0.0160096	--	--	--	--	0.0122	0	--	--	--	--	--	--	--	--	0.056	0.162	0.058	0.057	0.076	0.086	--	--	--	--	0.043	0.115	0.099	0.049	0	3.34	0.850299401	--
BD45-158	Ehling_mAb-50	Inf*	>10	Inf	0.930624	1.152432	0.839079	Inf	0.973096	11.8819	Inf*	--	--	--	2.6772	0	--	0	--	--	--	--	--	--	0.053	0.079	0.045	0.056	0.058	0.052	--	--	--	--	0.041	0.072	0.08	0.052	0.5	3.419	0.124890319	--
BD45-159	Ehling_mAb-64	Inf	>10	Inf	Inf	Inf*	Inf*	Inf	Inf*	Inf*	Inf*	--	--	--	0.2823	0	--	--	--	--	--	--	--	--	0.061	0.086	0.05	0.058	0.062	0.046	--	--	--	--	0.043	0.077	0.089	0.049	0	3.203	0.10896035	--
BD45-160	Ehling_mAb-82	Inf*	4.3001	7.3123	2.28309	Inf	2.082	3.291	Inf	0.208439	Inf*	--	--	--	Inf	--	--	0.01	--	--	--	--	--	--	0.074	0.069	0.054	0.057	0.068	0.071	--	--	--	--	0.044	0.084	0.071	0.049	0.5	3.333	0.271827183	--
BD45-161	DH1043	Inf*	>10	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.0362353	Inf*	--	--	--	Inf	0	--	0.02	--	--	--	--	--	--	0.058	0.086	0.062	0.071	0.061	0.104	--	--	--	--	0.045	0.094	0.127	0.051	0.5	3.3	0.806363636	--
BD45-162	DH1042	Inf	>10	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.0186845	Inf*	--	--	--	Inf	0	--	--	--	--	--	--	--	--	0.112	0.203	0.118	0.065	0.06	0.193	--	--	--	--	0.046	0.331	0.132	0.055	0	3.271	0.690308774	--
BD45-163	DH1179	Inf*	>10	Inf	Inf	Inf*	Inf*	Inf	Inf*	Inf	Inf*	--	--	--	0.074	0	--	0.06	--	--	--	--	--	--	0.056	0.155	0.056	0.065	0.076	0.104	--	--	--	--	0.051	0.108	0.103	0.051	0.49	3.219	0.625349487	--
BD45-164	DH1184	Inf*	>10	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.469375	Inf*	--	--	--	Inf	0	--	-0.01	--	--	--	--	--	--	0.065	0.17	0.066	0.057	0.086	0.11	--	--	--	--	0.049	0.111	0.135	0.048	0.5	3.446	0.523795705	--
BD45-166	DH1186	Inf*	>10	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.0189301	Inf*	--	--	--	0.1847	0	--	0	--	--	--	--	--	--	0.054	0.097	0.052	0.049	0.059	0.051	--	--	--	--	0.044	0.087	0.114	0.047	0.5	3.44	0.496802326	--
BD45-167	DH1044	Inf*	0.085	Inf	0.0750159	0.432764	0.0739006	0.081	Inf	21.2392	Inf*	--	--	--	11.708	0	0	-0.01	--	--	--	--	--	--	0.049	0.097	0.047	0.06	0.056	0.047	--	--	--	--	0.04	0.095	0.069	0.048	0.5	3.435	0.034061135	--
BD45-169	DH1126	Inf*	>10	Inf	Inf	Inf*	Inf*	Inf	Inf*	1.33717	Inf*	--	--	--	0.0171	0	--	-0.01	--	--	--	--	--	--	0.06	0.068	0.049	0.055	0.057	0.046	--	--	--	--	0.044	0.098	0.085	0.051	0.5	3.447	0.310704961	--
BD45-170	DH1161-1	Inf*	Inf	Inf*	Inf*	Inf*	Inf*	Inf	Inf*	Inf*	Inf*	--	--	--	Inf	--	--	-0.01	--	--	--	--	--	--	0.054	0.081	0.047	0.071	0.059	0.047	--	--	--	--	0.045	0.101	0.125	0.046	0.5	3.426	0.033566842	--
BD45-171	DH1173	Inf	>10	Inf	Inf	Inf*	Inf*	Inf	Inf*	1.45698	Inf*	--	--	--	0.0467	0	--	--	--	--	--	--	--	--	0.066	0.106	0.062	0.062	0.116	0.06	--	--	--	--	0.047	0.103	0.076	0.055	0	3.306	0.679673321	--
BD45-172	DH1143	Inf*	--	--	--	Inf	--	--	--	--	--	--	--	--	2.01	--	--	-0.01	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	0.5	--	--	--
BD45-173	DH1154	Inf*	>10	Inf	Inf	Inf*	Inf*	Inf	Inf*	1.03678	Inf*	--	--	--	0.0204	0	--	0.11	--	--	--	--	--	--	0.07	0.181	0.072	0.075	0.102	0.189	--	--	--	--	0.057	0.165	0.08	0.057	0.48	3.362	0.218024985	--
BD45-175	DH1151	Inf*	0.5432	0.26723	0.447612	0.468338	0.280555	0.3912	Inf	Inf*	Inf*	--	--	--	Inf	0	0	-0.01	--	--	--	--	--	--	0.083	0.266	0.094	0.058	0.116	0.141	--	--	--	--	0.051	0.134	0.12	0.05	0.5	3.437	0.30724469	--
BD45-176	DH1160	Inf*	>10	Inf	Inf	Inf*	Inf*	Inf	Inf*	Inf*	Inf*	--	--	--	Inf	0	--	-0.01	--	--	--	--	--	--	0.068	0.25	0.064	0.066	0.101	0.076	--	--	--	--	0.046	0.132	0.125	0.052	0.5	3.369	0.477886613	--
BD45-177	DH1140	Inf*	>10	Inf	Inf	Inf*	Inf*	Inf	Inf*	1.14634	Inf*	--	--	--	0.1032	0	--	-0.01	--	--	--	--	--	--	0.061	0.206	0.082	0.069	0.1	0.075	--	--	--	--	0.06	0.119	0.169	0.053	0.5	3.295	0.08952959	--
BD45-178	DH1210	Inf	>10	Inf	Inf	Inf*	Inf*	Inf	Inf*	Inf*	Inf*	--	--	--	0.0397	0	--	--	--	--	--	--	--	--	0.079	0.275	0.067	0.053	0.095	0.07	--	--	--	--	0.048	0.123	0.076	0.048	0	3.282	0.099024985	--
BD45-180	DH1045	Inf	>10	Inf	Inf	Inf*	Inf*	Inf	Inf*	3.4995	0.968404	--	--	--	0.2684	0	--	1.75	3.31	3.36	2.35	1.35	0.12	1.59	0.764	0.877	1.188	0.131	0.353	0.26	0.1	0.08	0.22	0.18	0.368	0.095	0.15	0.084	0.49	3.463	0.194917701	--
BD45-181	DH1046	0.103561	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.145379	0.0807347	--	--	--	1.9685	--	--	4.06	--	--	--	--	--	--	3.376	3.31	1.518	3.139	2.653	2.962	--	--	--	--	3.189	3.337	3.386	3.25	0	3.33	0.705105105	--
BD45-182	DH1180	Inf	Inf	Inf*	Inf*	Inf*	Inf*	Inf	Inf*	Inf*	Inf*	--	--	--	Inf	--	--	--	--	--	--	--	--	--	0.1	0.245	0.097	0.07	0.098	0.11	--	--	--	--	0.068	0.142	0.1	0.052	0	3.491	0.019478659	--
BD45-183	DH1183	Inf*	Inf	Inf*	Inf*	Inf*	Inf*	Inf	Inf*	Inf*	Inf*	--	--	--	Inf	--	--	-0.01	--	--	--	--	--	--	0.09	0.268	0.117	0.073	0.125	0.158	--	--	--	--	0.073	0.204	0.117	0.055	0.5	3.49	0.036103152	--
BD45-184	DH1128	Inf*	Inf	Inf*	Inf*	Inf*	Inf*	Inf	Inf*	Inf*	Inf*	--	--	--	Inf	--	--	0.01	--	--	--	--	--	--	0.072	0.182	0.075	0.082	0.067	0.053	--	--	--	--	0.06	0.055	0.046	0.055	0.5	3.345	0.100149477	--
BD45-185	DH1129	Inf*	Inf	Inf*	Inf*	Inf*	Inf*	Inf	Inf*	Inf*	Inf*	--	--	--	Inf	--	--	0.03	--	--	--	--	--	--	0.069	0.098	0.059	0.058	0.059	0.058	--	--	--	--	0.07	0.047	0.082	0.096	0.49	3.426	0.07530648	--
BD45-186	DH1155	Inf*	Inf	Inf	Inf*	Inf	Inf*	Inf	Inf*	--	--	--	--	--	Inf	--	--	-0.01	--	--	--	--	--	--	0.065	0.069	0.041	0.055	0.061	0.051	--	--	--	--	0.075	0.052	0.049	0.071	0.5	3.4	0.213235294	--
BD45-187	DH1193	Inf	2.88	7.14615	3.29455	2.21339	2.01	2.46717	2.85918	0.825216	Inf	--	--	--	Inf	2	0	3.38	3.44	3.46	3.33	3.43	1.77	3.48	2.206	2.954	3.226	0.068	0.422	0.14	0.08	0.1	0.4	0.1	0.379	0.093	0.184	0.095	0.35	3.413	0.001757984	--
BD45-188	DH1111	Inf*	>10	Inf	Inf	Inf*	Inf*	Inf	Inf*	Inf	Inf*	--	--	--	3.3396	0	--	0	--	--	--	--	--	--	0.069	0.358	0.047	0.065	0.062	0.064	--	--	--	--	0.073	0.05	0.056	0.055	0.5	3.39	-0.014159292	--
BD45-189	DH1161-2	Inf*	>10	Inf	Inf	Inf*	Inf*	Inf	Inf*	Inf*	Inf*	--	--	--	Inf	0	0	0	--	--	--	--	--	--	0.068	0.126	0.057	0.066	0.067	0.05	--	--	--	--	0.069	0.047	0.045	0.081	0.5	3.362	0.143367043	--
BD45-190	DH1064	--	Inf*	Inf*	Inf*	Inf	--	--	--	Inf*	Inf*	--	--	--	1.4334	--	--	4.18	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	0.01	--	--	--
BD45-191	DH1073	0.0412192	--	--	--	4.47124	--	--	--	--	--	--	--	--	1.8985	--	--	4.24	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	0.01	--	--	--
BD45-192	DH1130	Inf*	Inf	Inf*	Inf*	Inf*	Inf*	Inf	Inf*	Inf*	Inf*	--	--	--	Inf	--	--	0.15	--	--	--	--	--	--	0.054	0.09	0.059	0.065	0.06	0.061	--	--	--	--	0.075	0.042	0.065	0.059	0.47	3.446	0.086186883	--
BD45-193	DH1063	Inf*	Inf	Inf*	Inf*	Inf*	Inf*	Inf	Inf*	Inf*	Inf*	--	--	--	Inf	--	--	0.16	--	--	--	--	--	--	0.078	0.163	0.074	0.146	0.09	0.102	--	--	--	--	0.094	0.065	0.079	0.076	0.41	3.454	0.009264621	--
BD45-194	DH1082	Inf*	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	Inf	Inf*	--	--	--	Inf	--	--	-0.01	--	--	--	--	--	--	0.061	0.096	0.071	0.089	0.057	0.079	--	--	--	--	0.061	0.045	0.048	0.067	0.5	3.33	0.062762763	--
BD45-195	DH1072	Inf	Inf	Inf	Inf	Inf	Inf	--	--	--	--	--	--	--	2.1304	--	--	3.95	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	0.01	--	--	--
